"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","M","2019-01",1.551235,
"USA","CPI","TOT","AGRWTH","M","2019-02",1.520135,
"USA","CPI","TOT","AGRWTH","M","2019-03",1.862523,
"USA","CPI","TOT","AGRWTH","M","2019-04",1.99644,
"USA","CPI","TOT","AGRWTH","M","2019-05",1.790228,
"USA","CPI","TOT","AGRWTH","M","2019-06",1.648485,
"USA","CPI","TOT","AGRWTH","M","2019-07",1.811465,
"USA","CPI","TOT","AGRWTH","M","2019-08",1.74978,
"USA","CPI","TOT","AGRWTH","M","2019-09",1.711305,
"USA","CPI","TOT","AGRWTH","M","2019-10",1.764043,
"USA","CPI","TOT","AGRWTH","M","2019-11",2.051278,
"USA","CPI","TOT","AGRWTH","M","2019-12",2.28513,
"USA","CPI","TOT","AGRWTH","M","2020-01",2.486572,
"USA","CPI","TOT","AGRWTH","M","2020-02",2.334874,
"USA","CPI","TOT","AGRWTH","M","2020-03",1.539327,
"USA","CPI","TOT","AGRWTH","M","2020-04",0.3290967,
"USA","CPI","TOT","AGRWTH","M","2020-05",0.1179264,
"USA","CPI","TOT","AGRWTH","M","2020-06",0.6457331,
"USA","CPI","TOT","AGRWTH","M","2020-07",0.9860818,
"USA","CPI","TOT","AGRWTH","M","2020-08",1.309645,
"USA","CPI","TOT","AGRWTH","M","2020-09",1.371325,
"USA","CPI","TOT","AGRWTH","M","2020-10",1.182066,
"USA","CPI","TOT","AGRWTH","M","2020-11",1.174536,
"USA","CPI","TOT","AGRWTH","M","2020-12",1.362005,
"USA","CPI","TOT","AGRWTH","M","2021-01",1.39977,
"USA","CPI","TOT","AGRWTH","M","2021-02",1.676215,
"USA","CPI","TOT","AGRWTH","M","2021-03",2.619762,
"USA","CPI","TOT","AGRWTH","M","2021-04",4.159695,
"USA","CPI","TOT","AGRWTH","M","2021-05",4.992707,
"USA","CPI","TOT","AGRWTH","M","2021-06",5.391451,
"USA","CPI","TOT","AGRWTH","M","2021-07",5.365475,
"USA","CPI","TOT","AGRWTH","M","2021-08",5.251272,
"USA","CPI","TOT","AGRWTH","M","2021-09",5.390349,
"USA","CPI","TOT","AGRWTH","M","2021-10",6.221869,
"USA","CPI","TOT","AGRWTH","M","2021-11",6.809003,
"USA","CPI","TOT","AGRWTH","M","2021-12",7.036403,
"USA","CPI","TOT","AGRWTH","M","2022-01",7.479873,
"USA","CPI","TOT","AGRWTH","M","2022-02",7.871064,
"USA","CPI","TOT","AGRWTH","M","2022-03",8.542456,
"USA","CPI","TOT","AGRWTH","M","2022-04",8.25863,
"USA","CPI","TOT","AGRWTH","M","2022-05",8.581511,
"USA","CPI","TOT","AGRWTH","M","2022-06",9.059758,
"USA","CPI","TOT","AGRWTH","M","2022-07",8.524815,
"USA","CPI","TOT","AGRWTH","M","2022-08",8.262692,
"USA","CPI","TOT","AGRWTH","M","2022-09",8.20167,
"USA","CPI","TOT","AGRWTH","M","2022-10",7.745427,
"USA","CPI","TOT","AGRWTH","M","2022-11",7.110323,
"USA","CPI","TOT","AGRWTH","M","2022-12",6.454401,
"USA","CPI","TOT","AGRWTH","M","2023-01",6.410147,
"USA","CPI","TOT","AGRWTH","M","2023-02",6.035613,
"USA","CPI","TOT","AGRWTH","M","2023-03",4.984974,
"USA","CPI","TOT","AGRWTH","M","2023-04",4.93032,
"USA","CPI","TOT","AGRWTH","M","2023-05",4.047609,
"USA","CPI","TOT","AGRWTH","M","2023-06",2.969178,
"USA","CPI","TOT","AGRWTH","M","2023-07",3.17778,
